title,author,price
 文明之光精华版 吴军著计算机科学书籍浪潮之巅数学之美科技之巅腾讯传近现代人类文明史书籍中国通史,吴军,¥165.60
 人工智能的进化 计算机思维离人类心智还有多远 赫克托莱韦斯克 著 中信出版社图书 正版书籍,赫克托莱韦斯克,¥31.80
 14天自造量子计算机（Python版）量子计算与编程入门量子信息 量子计算基础导论 使用薛定谔方程对量子计算机的基本要素,[日]远藤理平,¥44.90
 【正版速发】计算机类书籍UI设计修课：交互+架构+视觉UE设计教程（全彩）李晓斌UI界面教程书籍平面设新书,李晓斌,¥57.00
 Excel高效办公应用与技巧大全+Excel数据处理与分析【全2册】函数图表透视表数据分析基础入门办公计算机从小白到大神,云飞,¥59.70
 和秋叶一起学 秒懂Excel（全彩版）,秋叶 陈文登,¥37.40
 鲲鹏生态应用开发 科技类书籍 计算机网络类书籍 正版书籍,人民邮电出版社,¥170.00
 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,其他,¥30.00
 正版精通特征工程/图灵程式设计丛书 计算机类书籍一册 人民邮电出版社 9787115509680,爱丽丝·郑等,¥50.95
 网络工程综合实践教程 俞研 书店 计算机类书籍 书 畅想畅销书,其他,¥31.00
 SMT表面组装技术 书店 杜中一 计算机类书籍 书 畅想畅销书,其他,¥34.70
 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍 畅想畅销书,其他,¥32.70
 接入网技术 孙青华 书店 计算机类书籍 畅想畅销书,其他,¥40.70
 常青藤大型三维GS平台技术及实践 软开发 计算机类书籍任选,吴信才,¥24.00
 正版 SSH框架企业级应用实战 肖睿 书店 计算机类书籍,不详,¥55.38
 正版 新华 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想书,不详,¥42.15
 络安全技术及应用学习与实践指导 贾铁军 计算机类书籍 书 畅想,其他,¥33.00
 网络工程综合实践教程 俞研 等 计算机类书籍,不详,¥32.13
 正版 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想书,不详,¥41.04
 新华 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想畅销书,其他,¥35.50
 J W程序设计任务教程 黑马程序员 书店 计算机类书籍,其他,¥62.00
 ASP.NET开发技术 朱珍 书店 计算机类书籍,其他,¥49.00
 新华 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想畅销书,其他,¥35.40
 正版 ASP.NET开发技术 朱珍 书店 计算机类书籍,不详,¥48.60
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类书籍 C语言基本语法编程基础 电子工业,电子工业出版社,¥51.79
 Android模块化开发项目式教程（Android Studio） 郑丹青 计算机类书籍,不详,¥43.14
 正版 ASP.NET开发技术 朱珍 书店 计算机类书籍,不详,¥47.10
 现货智能计算系统陈云霁李玲2020教材新书计算机类书籍 专业系统能力培养系列教材人工智能软硬件技术智能领域系统能力培养,陈云霁李玲李威郭崎杜子东,¥100.22
 Python 3.5从零开始学 刘宇宙 书店 计算机类书籍 书 畅想畅销书,其他,¥53.70
 【凤凰旗舰店】网络安全与管理实验与实训（微课视频版）石磊 高等学校计算机类书籍 信息管理类专业书籍,清华大学出版社,¥59.00
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥63.00
 计算机组成原理（第3版) 电子书 计算机类书籍 大学教材,纪禄平,¥22.50
